                                                                               1 Aug 2018 13:00:48
Approved for Personal Home Use Only
Satellite-KickSat2-To-Facility-Facility1:  Access Summary Report


KickSat2-To-Facility1
---------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                     292    17 Mar 2019 10:53:10.034    17 Mar 2019 10:55:45.586           155.551
                     293    17 Mar 2019 12:29:16.336    17 Mar 2019 12:32:16.177           179.841
                     294    17 Mar 2019 18:57:45.431    17 Mar 2019 19:01:42.896           237.464
                     295    18 Mar 2019 11:34:44.825    18 Mar 2019 11:38:50.087           245.262
                     296    18 Mar 2019 18:03:45.979    18 Mar 2019 18:08:00.455           254.475
                     297    19 Mar 2019 10:40:48.478    19 Mar 2019 10:45:00.274           251.795
                     298    19 Mar 2019 17:10:10.219    19 Mar 2019 17:13:42.998           212.780
                     299    20 Mar 2019 09:47:35.153    20 Mar 2019 09:50:38.452           183.299
                     300    20 Mar 2019 11:24:08.579    20 Mar 2019 11:26:48.245           159.665
                     301    20 Mar 2019 16:17:13.090    20 Mar 2019 16:18:35.398            82.308
                     302    20 Mar 2019 17:52:30.457    20 Mar 2019 17:56:17.020           226.563
                     303    21 Mar 2019 10:29:29.477    21 Mar 2019 10:33:27.688           238.211
                     304    21 Mar 2019 16:58:25.760    21 Mar 2019 17:02:41.788           256.028
                     305    22 Mar 2019 09:35:27.014    22 Mar 2019 09:39:41.969           254.955
                     306    22 Mar 2019 16:04:45.929    22 Mar 2019 16:08:30.446           224.516
                     307    23 Mar 2019 08:42:03.862    23 Mar 2019 08:45:28.057           204.195
                     308    23 Mar 2019 10:19:03.292    23 Mar 2019 10:21:18.209           134.917
                     309    23 Mar 2019 15:11:36.380    23 Mar 2019 15:13:37.311           120.931
                     310    23 Mar 2019 16:47:16.987    23 Mar 2019 16:50:49.294           212.308
                     311    24 Mar 2019 09:24:15.216    24 Mar 2019 09:28:04.568           229.353
                     312    24 Mar 2019 15:53:06.276    24 Mar 2019 15:57:22.026           255.750
                     313    25 Mar 2019 08:30:06.721    25 Mar 2019 08:34:22.852           256.131
                     314    25 Mar 2019 14:59:22.449    25 Mar 2019 15:03:16.713           234.265
                     315    26 Mar 2019 07:36:35.135    26 Mar 2019 07:40:15.427           220.292
                     316    26 Mar 2019 09:14:01.967    26 Mar 2019 09:15:44.566           102.599
                     317    26 Mar 2019 14:06:04.916    26 Mar 2019 14:08:33.617           148.700
                     318    26 Mar 2019 15:42:05.455    26 Mar 2019 15:45:19.296           193.841
                     319    27 Mar 2019 08:19:02.087    27 Mar 2019 08:22:40.675           218.589
                     320    27 Mar 2019 14:47:47.578    27 Mar 2019 14:52:01.121           253.543
                     321    28 Mar 2019 07:24:47.540    28 Mar 2019 07:29:02.972           255.432
